Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source,raison_rejet
Facebook Marketplace,Terrain à vendre,Vente,Terrain,non spécifié,3500000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,TERRAIN A VENDRE LOMÉ ADETIKOPE,Vente,Terrain,adetikope,30000.0,Non spécifié,43.75,Facebook,facebook,prix_m2_trop_bas
Facebook Marketplace,Terrain à GTA LOME,Vente,Terrain,non spécifié,1100000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre,Vente,Terrain,non spécifié,3000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre,Vente,Terrain,non spécifié,1800000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain,Vente,Terrain,non spécifié,1.2E7,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre Djagblé,Vente,Terrain,non spécifié,1200000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,Des terrains à vendre en ville a lomé,Vente,Terrain,non spécifié,1000000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre,Vente,Terrain,non spécifié,1200000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre Djagblé,Vente,Terrain,non spécifié,1200000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,Des terrains à vendre en ville a lomé,Vente,Terrain,non spécifié,1000000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,OPPORTUNITÉ UNIQUE À LOMÉ – TERRAIN AU BORD DU GOUDRON EN ANGLE DE RUE DE 499m² CLÔTURÉ SUR LA ROUTE,Vente,Terrain,non spécifié,4900000.0,Non spécifié,499.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre avec titre foncier,Vente,Terrain,non spécifié,2.0E7,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,#TERRAIN A VENDRE À #KPESSI,,,,,,,,facebook,prix_ou_surface_manquant
"Un terrain mis en vente à kpessi au bord du lac sur la voie de Lomé Ane\"",Vente,Terrain,Vo,7000000,,350.0,,,facebook,prix_ou_surface_manquant
Facebook Marketplace,Terrain 1/8 à vendre avec construction,Vente,Terrain,non spécifié,4000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain,Vente,Terrain,non spécifié,2000000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,😁😁LOCATION EN *CENTRE VILLE DE LOMÉ*,,,,,,,,facebook,prix_ou_surface_manquant
lckim🆘,,,,,,,,,facebook,prix_ou_surface_manquant
*PRODUIT DIRECT¹AA*,,,,,,,,,facebook,prix_ou_surface_manquant
"*VILLA TRIPLEX DE 10 CHAMBRE\"",Location,Villa,Non spécifié,600000,10.0,100.0,,,facebook,prix_ou_surface_manquant
Facebook Marketplace,Studio meublé à louer à Lomé,Location,Appartement,non spécifié,15000.0,1,35.0,Facebook,facebook,zone_invalide
Facebook Marketplace,☎️🇹🇬 TÉL [hidden information] chambre salon meublé à Lomé totsi,Vente,Terrain,non spécifié,15000.0,2,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,☎️🇹🇬 TÉL [hidden information] studio meublé à Lomé totsi,Vente,Appartement,non spécifié,13000.0,1,35.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Appartement / condominium de 1 chambre et 1 salle de bain 1 bed · 1 bath,Location,Appartement,be,20000.0,1,60.0,Facebook,facebook,prix_m2_trop_bas
Facebook Marketplace,☎️🇹🇬 TÉL[hidden information] Appartement meublé Lomé totsi,Location,Appartement,non spécifié,15000.0,2,60.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Pièce meublée en ville de Lomé.,Location,Appartement,non spécifié,10000.0,1,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,☎️🇹🇬 TÉL [hidden information] Appartement meublé Lomé tokoin pharmacie gbonssime,Location,Appartement,tokoin,15000.0,2,60.0,Facebook,facebook,prix_m2_trop_bas
Facebook Marketplace,☎️🇹🇬 TÉL[hidden information] Appartement meublé à Lomé avedji,Location,Appartement,avedji,20000.0,1,60.0,Facebook,facebook,prix_m2_trop_bas
Facebook Marketplace,Location maison meublee,Location,Terrain,non spécifié,40000.0,1,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Location appartement,Location,Appartement,non spécifié,35000.0,1,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Location cour unique,,,,,,,,facebook,prix_ou_surface_manquant
Zossimé non loin du marché,,,,,,,,,facebook,prix_ou_surface_manquant
"nous mettons en location une chambre salon plafo\"",Location,Terrain,Non spécifié,30000,2.0,20.0,,,facebook,prix_ou_surface_manquant
Facebook Marketplace,LOCATION,Location,Terrain,non spécifié,70000.0,Non spécifié,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Location,Location,Terrain,non spécifié,70000.0,Non spécifié,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Cours unique chambre salon,Vente,Villa,non spécifié,40000.0,2,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Appartement scindé en cour unique,Vente,Villa,non spécifié,65000.0,3,60.0,Facebook,facebook,zone_invalide
Facebook Marketplace,TERRAIN A VENDRE AKATO,Vente,Terrain,non spécifié,150000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre,Vente,Terrain,non spécifié,5500000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Lomé Togo terrain à vendre,Vente,Terrain,non spécifié,9.0E7,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain un lot en vente a lome aképé port sec,Vente,Terrain,non spécifié,9000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain fiable à vendre,Vente,Terrain,non spécifié,2800000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,*A VENDRE*,,,,,,,,facebook,prix_ou_surface_manquant
02 LOT de terrain au cœur du grand marché de LOMÉ.,,,,,,,,,facebook,prix_ou_surface_manquant
Surface : 1000 m2.,,,,,,,,,facebook,prix_ou_surface_manquant
"Situés en angle de\"",Vente,Terrain,Non spécifié,1000000000,,700.0,,,facebook,prix_ou_surface_manquant
Facebook Marketplace,Terrain demi Lot,Vente,Terrain,non spécifié,3.5E7,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à Lomé 🇹🇬,Vente,Terrain,non spécifié,1.2E8,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,TERRAINS AGRICOLES EN VENTE À AZAHOUN,Vente,Terrain,non spécifié,1300000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain en vente a Lomé aképé,Vente,Terrain,non spécifié,9000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain : 1/2 lot avec Titre Foncier P à klikamé non loin campus Lomé,Vente,Terrain,non spécifié,1.9E7,Non spécifié,175.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre à Lomé akepe,Vente,Terrain,non spécifié,9000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre au grand marché de lomé (Assigame),Vente,Terrain,non spécifié,1000000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,VENTE DE TERRAIN A NOTSÈ 13 KL AU GOUDRON 🇹🇬,Vente,Terrain,non spécifié,400000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,VENTE DE TERRAIN A NOTSÈ À 13 KLM DU GOUDRON 🇹🇬,Vente,Terrain,non spécifié,400000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,TERRAIN À VENDRE,Vente,Terrain,non spécifié,4000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain quart de Lot en vente a Lomé mission tové,Vente,Terrain,non spécifié,2000000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
